Date,Rating,Review,Is_Burmese,Sentiment_Score,Translated_Review,Sentiment_Score_Translated,Days_Since_Start,Device_Phone,Device_Tablet
2025-11-11 15:05:00,5,My acc my moneys,0,0.0,My acc my moneys,0.0,195,True,False
2025-11-11 12:23:00,5,Thank,0,0.0,Thank,0.0,195,True,False
2025-11-11 11:50:00,5,မျက်နှာစကန်ပြန်ပြန်တောင်းနေတယ် အကောင့်ဖွင့်တာ,1,0.0,I'm asking for a face scan again to open an account,0.0,195,True,False
2025-11-11 10:36:00,2,good appointment for ✌,0,0.7,good appointment for ✌,0.7,195,True,False
2025-11-11 04:48:00,5,good,0,0.7,good,0.7,194,True,False
2025-11-11 04:38:00,5,like,0,0.0,like,0.0,194,True,False
2025-11-10 21:23:00,5,good,0,0.7,good,0.7,194,True,False
2025-11-10 18:10:00,5,GOOD APP FOR BUSINESS,0,0.7,GOOD APP FOR BUSINESS,0.7,194,True,False
2025-11-10 15:15:00,5,good,0,0.7,good,0.7,194,True,False
2025-11-10 12:09:00,5,ok,0,0.5,ok,0.5,194,False,True
2025-11-10 09:33:00,4,Good,0,0.7,Good,0.7,194,True,False
2025-11-10 03:59:00,5,Good,0,0.7,Good,0.7,193,True,False
2025-11-09 17:42:00,4,ok,0,0.5,ok,0.5,193,True,False
2025-11-09 14:30:00,5,very good,0,0.91,very good,0.91,193,True,False
2025-11-09 12:53:00,5,like,0,0.0,like,0.0,193,True,False
2025-11-09 09:51:00,5,Good,0,0.7,Good,0.7,193,True,False
2025-11-09 09:39:00,5,good app,0,0.7,good app,0.7,193,True,False
2025-11-09 09:22:00,5,thank play store,0,0.0,thank play store,0.0,193,False,True
2025-11-09 09:02:00,5,kpay is great,0,0.8,kpay is great,0.8,193,True,False
2025-11-09 08:53:00,5,ဟေ့!,1,0.0,Hey!,0.0,193,True,False
2025-11-09 08:32:00,5,kpay accပြန်ဝင်မရဘူး,1,0.0,Can't get back into kpay acc,0.0,193,True,False
2025-11-09 06:57:00,5,kolaythu,0,0.0,kolaythu,0.0,193,True,False
2025-11-09 01:33:00,5,very good,0,0.91,very good,0.91,192,True,False
2025-11-08 18:29:00,1,Scam app ကြီးပါဟယ် ဖုန်းဘေလ် 5K ထည့်တာ ပျောက်သွားတယ် ဖုန်းဘေလ်မရောက်လာဘူး ပိုက်ဆံကထွက်သွားတယ်,1,0.0,It's a big scam app. I added 5K to my phone bill. It's gone. The phone bill didn't arrive. The money went out,0.0,192,True,False
2025-11-08 15:15:00,1,"bad service,",0,-0.7,"bad service,",-0.7,192,True,False
2025-11-08 14:27:00,4,Good,0,0.7,Good,0.7,192,True,False
2025-11-08 13:52:00,5,good,0,0.7,good,0.7,192,True,False
2025-11-08 08:43:00,1,I don't like this app,0,0.0,I don't like this app,0.0,192,True,False
2025-11-07 20:08:00,5,good,0,0.7,good,0.7,191,False,True
2025-11-07 18:48:00,5,SoOkgood,0,0.0,SoOkgood,0.0,191,True,False
