Date,Rating,Review,Is_Burmese,Sentiment_Score,Translated_Review,Sentiment_Score_Translated,Lang_Burmese,Lang_English,Lang_Mixed,Month_Difference,Date_Interval,Emoji_Count,Device_Phone,Device_Tablet,Sentiment_Category
11/11/2025 15:05,5,My acc my moneys,0,0.0,My acc my moneys,0.0,False,True,False,7,4,0,True,False,Neutral
11/11/2025 12:23,5,Thank,0,0.0,Thank,0.0,False,True,False,7,4,0,True,False,Neutral
11/11/2025 11:50,5,မျက်နှာစကန်ပြန်ပြန်တောင်းနေတယ် အကောင့်ဖွင့်တာ,1,0.0,I'm asking for a face scan again to open an account,0.0,True,False,False,7,4,0,True,False,Neutral
11/11/2025 10:36,2,good appointment for ✌,0,0.7,good appointment for ✌,0.7,False,True,False,7,4,1,True,False,Positive
11/11/2025 4:48,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/11/2025 4:38,5,like,0,0.0,like,0.0,False,True,False,7,4,0,True,False,Neutral
11/10/2025 21:23,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/10/2025 18:10,5,GOOD APP FOR BUSINESS,0,0.7,GOOD APP FOR BUSINESS,0.7,False,True,False,7,4,0,True,False,Positive
11/10/2025 15:15,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/10/2025 12:09,5,ok,0,0.5,ok,0.5,False,True,False,7,4,0,False,True,Positive
11/10/2025 9:33,4,Good,0,0.7,Good,0.7,False,True,False,7,4,0,True,False,Positive
11/10/2025 3:59,5,Good,0,0.7,Good,0.7,False,True,False,7,4,0,True,False,Positive
11/9/2025 17:42,4,ok,0,0.5,ok,0.5,False,True,False,7,4,0,True,False,Positive
11/9/2025 14:30,5,very good,0,0.91,very good,0.91,False,True,False,7,4,0,True,False,Positive
11/9/2025 12:53,5,like,0,0.0,like,0.0,False,True,False,7,4,0,True,False,Neutral
11/9/2025 9:51,5,Good,0,0.7,Good,0.7,False,True,False,7,4,0,True,False,Positive
11/9/2025 9:39,5,good app,0,0.7,good app,0.7,False,True,False,7,4,0,True,False,Positive
11/9/2025 9:22,5,thank play store,0,0.0,thank play store,0.0,False,True,False,7,4,0,False,True,Neutral
11/9/2025 9:02,5,kpay is great,0,0.8,kpay is great,0.8,False,True,False,7,4,0,True,False,Positive
11/9/2025 8:53,5,ဟေ့!,1,0.0,Hey!,0.0,True,False,False,7,4,0,True,False,Neutral
11/9/2025 8:32,5,kpay accပြန်ဝင်မရဘူး,1,0.0,Can't get back into kpay acc,0.0,False,False,True,7,4,0,True,False,Neutral
11/9/2025 6:57,5,kolaythu,0,0.0,kolaythu,0.0,False,True,False,7,4,0,True,False,Neutral
11/9/2025 1:33,5,very good,0,0.91,very good,0.91,False,True,False,7,4,0,True,False,Positive
11/8/2025 18:29,1,Scam app ကြီးပါဟယ် ဖုန်းဘေလ် 5K ထည့်တာ ပျောက်သွားတယ် ဖုန်းဘေလ်မရောက်လာဘူး ပိုက်ဆံကထွက်သွားတယ်,1,0.0,It's a big scam app. I added 5K to my phone bill. It's gone. The phone bill didn't arrive. The money went out,0.0,False,False,True,7,4,0,True,False,Neutral
11/8/2025 15:15,1,"bad service,",0,-0.7,"bad service,",-0.7,False,True,False,7,4,0,True,False,Negative
11/8/2025 14:27,4,Good,0,0.7,Good,0.7,False,True,False,7,4,0,True,False,Positive
11/8/2025 13:52,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/8/2025 8:43,1,I don't like this app,0,0.0,I don't like this app,0.0,False,True,False,7,4,0,True,False,Neutral
11/7/2025 20:08,5,good,0,0.7,good,0.7,False,True,False,7,4,0,False,True,Positive
11/7/2025 18:48,5,SoOkgood,0,0.0,SoOkgood,0.0,False,True,False,7,4,0,True,False,Neutral
11/7/2025 17:17,5,Nice App for payment,0,0.6,Nice App for payment,0.6,False,True,False,7,4,0,True,False,Positive
11/7/2025 16:46,3,ok,0,0.5,ok,0.5,False,True,False,7,4,0,True,False,Positive
11/7/2025 8:11,5,so good,0,0.7,so good,0.7,False,True,False,7,4,0,True,False,Positive
11/7/2025 7:21,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/7/2025 5:59,1,don't use this software. you will lose all of your money. their customer service will not support you whatever you facing.,0,0.0,don't use this software. you will lose all of your money. their customer service will not support you whatever you facing.,0.0,False,True,False,7,4,0,True,False,Neutral
11/7/2025 3:45,5,Help you app dowload,0,0.0,Help you app dowload,0.0,False,True,False,7,4,0,True,False,Neutral
11/7/2025 1:18,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/6/2025 19:12,5,Very good,0,0.91,Very good,0.91,False,True,False,7,4,0,True,False,Positive
11/6/2025 15:55,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/6/2025 15:04,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
11/6/2025 13:14,1,စောက်ရေးမပါတဲ့ noti တွေတက်နေတာ phayloephyit loh သုံးနေတာ ငွေဝင်ငွေထွက်ပဲ သိချင်တာ matharma tway yay,1,0.0,I'm taking noti without registration.,0.0,False,False,True,7,4,0,False,True,Neutral
11/6/2025 7:49,5,very good,0,0.91,very good,0.91,False,True,False,7,4,0,False,True,Positive
11/6/2025 3:51,5,very good,0,0.91,very good,0.91,False,True,False,7,4,0,False,True,Positive
11/6/2025 2:47,3,good lee,0,0.7,good lee,0.7,False,True,False,7,4,0,True,False,Positive
11/5/2025 14:23,5,good,0,0.7,good,0.7,False,True,False,7,4,0,True,False,Positive
